"","ID","Group_type","Datetime","sampperiod","age","group"
"182","759","B",2003-12-15 12:00:00,1,30,126
"185","397","LB",2003-12-20 17:30:00,1,30,129
"187","477","LB",2003-12-23 12:05:00,1,30,131
"188","244","B",2003-12-24 10:15:00,1,40,132
"189","670","B",2003-12-24 10:15:00,1,20,132
"190","728","B",2003-12-24 10:15:00,1,20,132
"191","759","B",2003-12-24 10:15:00,1,30,132
"192","876","B",2003-12-24 10:15:00,1,30,132
"193","710","B",2003-12-24 13:00:00,1,30,133
"194","244","B",2003-12-24 13:00:00,1,40,133
"195","876","B",2003-12-24 13:00:00,1,30,133
"196","244","B",2003-12-24 13:00:00,1,40,133
"198","335","LB",2003-12-28 10:02:00,1,40,135
"201","173","B",2003-12-30 09:56:00,1,30,138
"202","349","B",2003-12-30 09:56:00,1,40,138
"203","772","B",2003-12-30 16:38:00,1,40,139
"204","876","B",2003-12-30 16:38:00,1,30,139
"209","876","B",2003-12-31 08:47:00,1,30,142
"213","772","B",2004-01-02 18:08:00,1,40,146
"215","906","LB",2004-01-04 12:01:00,1,20,148
"218","778","B",2004-01-05 06:31:00,1,30,151
"219","796","B",2004-01-05 06:31:00,1,30,151
"220","906","LB",2004-01-05 07:00:00,1,20,152
"224","796","LB",2004-01-09 06:44:00,1,30,155
"227","298","LB",2004-01-10 07:12:00,1,40,158
"229","84","B",2004-01-14 08:58:00,1,20,160
"230","220","B",2004-01-14 08:58:00,1,30,160
"231","84","LB",2004-01-19 07:00:00,1,20,161
"234","170","B",2004-01-20 15:18:00,1,40,164
"235","768","B",2004-01-20 15:18:00,1,30,164
"241","831","LB",2004-01-21 08:55:00,1,20,166
"242","102","B",2004-01-24 10:15:00,1,40,167
"243","759","B",2004-01-24 10:15:00,1,30,167
"244","921","LB",2004-01-26 13:45:00,1,40,168
"245","592","LB",2004-01-26 15:01:00,1,57,169
"249","910","B",2004-01-29 16:58:00,1,30,173
"252","768","B",2004-01-31 11:04:00,1,30,176
"253","839","LB",2004-01-31 13:55:00,1,57,177
"254","541","B",2004-01-31 14:16:00,1,20,178
"255","883","B",2004-01-31 14:16:00,1,20,178
"257","102","B",2004-02-02 08:45:00,1,40,180
"258","306","B",2004-02-02 13:06:00,1,40,181
"259","836","LB",2004-02-03 17:45:00,1,20,182
"261","910","LB",2004-02-04 06:40:00,1,30,184
"262","778","LB",2004-02-04 07:30:00,1,30,185
"263","31","LB",2004-02-05 10:50:00,1,20,186
"265","778","B",2004-02-06 10:50:00,1,30,188
"266","321","B",2004-02-06 17:49:00,1,20,189
"269","706","LB",2004-02-08 12:30:00,1,30,191
"270","102","B",2004-02-09 17:26:00,1,40,192
"277","604","LB",2004-02-10 12:01:00,1,40,194
"279","910","LB",2004-02-11 17:05:00,1,30,196
"281","778","B",2004-02-13 06:04:00,1,30,198
"283","778","B",2004-02-14 08:26:00,1,30,200
"288","534","LB",2004-02-16 06:20:00,1,30,205
"293","491","LB",2004-02-18 07:05:00,1,20,208
"301","791","B",2004-02-19 13:45:00,1,20,210
"302","793","B",2004-02-19 13:45:00,1,20,210
"303","836","B",2004-02-19 13:45:00,1,20,210
"305","631","LB",2004-02-21 09:00:00,1,30,212
"307","706","B",2004-02-21 17:40:00,1,30,213
"309","170","LB",2004-02-23 11:16:00,1,40,215
"310","949","LB",2004-02-23 17:34:00,1,20,216
"327","876","LB",2004-03-06 15:40:00,1,30,229
"329","220","LB",2004-03-08 08:50:00,1,30,231
"333","76","LB",2004-03-12 16:00:00,1,40,235
"338","76","LB",2004-03-15 16:30:00,1,40,238
"339","76","LB",2004-03-16 12:30:00,1,40,239
"345","422","LB",2004-03-23 08:00:00,1,40,244
"349","422","LB",2004-03-29 09:30:00,1,40,248
"352","428","LB",2004-03-30 13:48:00,1,56,251
"353","157","LB",2004-03-31 14:50:00,1,45,252
"357","422","B",2004-04-02 10:32:00,1,40,256
"358","131","B",2004-04-02 10:32:00,1,40,256
"359","727","B",2004-04-03 12:52:00,1,40,257
"364","306","B",2004-04-05 12:13:00,1,40,261
"366","830","LB",2004-04-08 17:00:00,1,20,263
"367","490","B",2004-04-10 14:45:00,1,30,264
"371","239","LB",2004-04-18 09:30:00,1,30,268
"372","428","LB",2004-04-18 17:30:00,1,56,269
"386","349","B",2004-05-07 06:08:00,1,40,277
"410","829","LB",2004-05-16 10:40:00,1,20,291
"413","829","LB",2004-05-17 13:08:00,1,20,293
"414","778","LB",2004-05-18 09:50:00,1,30,294
"416","170","LB",2004-05-19 11:00:00,1,40,296
"429","506","B",2004-06-11 16:31:00,1,30,307
"430","91","B",2004-06-13 08:07:00,1,20,308
"431","166","B",2004-06-13 08:07:00,1,20,308
"432","506","LB",2004-06-17 07:13:00,1,30,309
"435","400","LB",2004-06-19 09:30:00,1,30,312
"436","623","LB",2004-06-19 16:28:00,1,20,313
"438","198","B",2004-06-21 09:47:00,1,30,315
"439","407","B",2004-06-21 09:47:00,1,30,315
"440","441","LB",2004-06-21 10:50:00,1,37,316
"442","718","B",2004-06-24 14:53:00,1,30,318
"443","412","B",2004-06-26 14:36:00,1,57,319
"445","84","B",2004-07-02 09:00:00,1,20,321
"446","76","B",2004-07-02 09:00:00,1,40,321
"449","76","LB",2004-07-02 12:06:00,1,40,324
"450","506","LB",2004-07-02 17:06:00,1,30,325
"451","170","LB",2004-07-06 10:48:00,1,40,326
"452","84","LB",2004-07-06 16:54:00,1,20,327
"457","180","B",2004-07-12 08:14:00,1,40,331
"458","849","B",2004-07-12 08:14:00,1,40,331
"460","524","LB",2004-07-14 16:00:00,1,57,333
"462","400","LB",2004-07-17 17:26:00,1,30,335
"464","428","B",2004-07-28 16:45:00,1,56,337
"465","706","B",2004-07-28 16:45:00,1,30,337
"466","477","LB",2004-07-30 17:14:00,1,30,338
"467","428","B",2004-07-31 14:24:00,1,56,339
"468","706","B",2004-07-31 14:24:00,1,30,339
"469","685","LB",2004-07-31 16:21:00,1,30,340
"471","59","LB",2004-08-04 11:00:00,1,30,342
"473","197","B",2004-08-08 12:39:00,1,30,344
"475","170","B",2004-08-11 11:00:00,1,40,346
"476","216","B",2004-08-11 11:00:00,1,20,346
"477","335","B",2004-08-11 11:00:00,1,40,346
"478","362","B",2004-08-11 11:00:00,1,20,346
"480","258","LB",2004-08-14 09:35:00,1,20,348
"487","674","B",2004-08-14 13:31:00,1,24,350
"492","756","B",2004-08-16 09:36:00,1,20,352
"493","843","B",2004-08-16 09:36:00,1,20,352
"494","170","B",2004-08-17 10:00:00,1,40,353
"495","335","B",2004-08-17 10:00:00,1,40,353
"496","865","LB",2004-08-17 12:55:00,1,20,354
"498","802","B",2004-08-18 14:30:00,1,23,356
"499","802","LB",2004-08-19 16:30:00,1,23,357
"501","218","LB",2004-08-28 07:14:00,1,40,359
"502","428","B",2004-08-28 08:57:00,1,56,360
"503","838","B",2004-08-28 08:57:00,1,20,360
"504","170","B",2004-08-28 09:00:00,1,40,361
"505","335","B",2004-08-28 09:00:00,1,40,361
"506","731","B",2004-08-28 09:00:00,1,20,361
"507","845","B",2004-08-28 09:00:00,1,30,361
"508","216","B",2004-08-28 09:15:00,1,20,362
"509","362","B",2004-08-28 10:16:00,1,20,363
"510","722","B",2004-08-28 10:16:00,1,20,363
"511","862","B",2004-08-28 10:27:00,1,20,364
"512","218","B",2004-08-28 11:30:00,1,40,365
"513","254","B",2004-08-28 11:30:00,1,20,365
"514","263","B",2004-08-28 11:30:00,1,44,365
"515","825","B",2004-08-28 11:30:00,1,40,365
"516","862","B",2004-08-28 11:30:00,1,20,365
"517","722","B",2004-08-28 13:25:00,1,20,366
"518","254","B",2004-08-29 11:21:00,1,20,367
"519","362","B",2004-08-29 11:21:00,1,20,367
"520","839","LB",2004-08-29 13:00:00,1,57,368
"526","157","B",2004-08-31 17:00:00,1,45,370
"527","263","B",2004-08-31 17:00:00,1,44,370
"528","708","B",2004-08-31 17:00:00,1,20,370
"529","839","B",2004-08-31 17:00:00,1,57,370
"530","772","B",2004-09-01 16:27:00,1,40,371
"532","412","LB",2004-09-02 09:30:00,1,57,373
"533","514","LB",2004-09-02 13:03:00,1,20,374
"534","170","B",2004-09-02 13:41:00,1,40,375
"535","335","B",2004-09-02 13:41:00,1,40,375
"536","845","B",2004-09-02 13:41:00,1,30,375
"537","113","B",2004-09-04 07:00:00,1,30,376
"539","412","B",2004-09-05 11:48:00,1,57,378
"540","661","B",2004-09-05 11:48:00,1,20,378
"541","218","B",2004-09-06 15:31:00,1,40,379
"542","704","B",2004-09-06 15:31:00,1,20,379
"543","759","LB",2004-09-06 16:28:00,1,30,380
"546","170","B",2004-09-08 16:43:00,1,40,382
"547","335","B",2004-09-08 16:43:00,1,40,382
"548","731","B",2004-09-08 16:43:00,1,20,382
"549","749","B",2004-09-08 16:43:00,1,20,382
"550","845","B",2004-09-08 16:43:00,1,30,382
"552","719","B",2004-09-10 08:15:00,1,20,384
"553","871","B",2004-09-10 08:15:00,1,20,384
"554","406","LB",2004-09-10 17:12:00,1,40,385
"556","170","B",2004-09-11 12:01:00,1,40,387
"557","170","B",2004-09-12 06:06:00,1,40,388
"560","772","B",2004-09-16 15:20:00,1,40,391
"561","768","B",2004-09-18 12:53:00,1,30,392
"562","584","LB",2004-09-27 10:30:00,1,20,393
"563","164","B",2004-09-29 10:03:00,1,30,394
"565","366","LB",2004-10-02 09:48:00,1,20,396
"566","534","LB",2004-10-02 10:31:00,1,30,397
"567","287","B",2004-10-04 09:38:00,1,30,398
"568","506","B",2004-10-04 10:58:00,1,30,399
"569","115","B",2004-10-04 13:44:00,1,44,400
"570","68","B",2004-10-19 09:15:00,1,30,401
"571","170","B",2004-10-19 11:17:00,1,40,402
"572","283","B",2004-10-19 11:17:00,1,56,402
"573","335","B",2004-10-19 11:17:00,1,40,402
"574","845","B",2004-10-19 11:17:00,1,30,402
"576","91","B",2004-10-28 06:04:00,1,20,404
"577","170","B",2004-10-28 09:40:00,1,40,405
"578","335","B",2004-10-28 09:40:00,1,40,405
"579","643","B",2004-10-28 14:17:00,1,20,406
"580","689","B",2004-10-28 16:50:00,1,40,407
"581","479","B",2004-10-29 15:28:00,1,30,408
"582","514","LB",2004-10-30 11:35:00,1,20,409
"583","170","LB",2004-10-30 14:30:00,1,40,410
"584","287","LB",2004-10-31 17:55:00,1,30,411
"585","845","LB",2004-11-01 06:10:00,1,30,412
"586","287","LB",2004-11-01 12:03:00,1,30,413
"588","477","B",2004-11-01 14:47:00,1,30,415
"589","864","B",2004-11-01 14:47:00,1,40,415
"590","170","LB",2004-11-01 16:40:00,1,40,416
"592","84","B",2004-11-02 11:00:00,1,20,418
"593","899","B",2004-11-03 12:26:00,1,20,419
"594","160","B",2004-11-03 12:39:00,1,20,420
"595","84","B",2004-11-04 14:00:00,1,20,421
"600","46","B",2004-11-13 08:50:00,1,20,426
"601","84","B",2004-11-13 08:50:00,1,20,426
"602","477","B",2004-11-13 08:50:00,1,30,426
"603","586","B",2004-11-13 08:50:00,1,36,426
"604","721","B",2004-11-13 08:50:00,1,40,426
"605","864","B",2004-11-13 08:50:00,1,40,426
"606","11","B",2004-11-14 08:00:00,1,20,427
"607","321","B",2004-11-14 08:00:00,1,20,427
"608","49","B",2004-11-14 13:18:00,1,20,428
"609","596","B",2004-11-14 13:18:00,1,20,428
"610","849","B",2004-11-14 13:18:00,1,40,428
"611","878","B",2004-11-14 13:18:00,1,20,428
"612","46","B",2004-11-14 13:30:00,1,20,429
"613","477","B",2004-11-14 13:30:00,1,30,429
"614","586","B",2004-11-14 13:30:00,1,36,429
"615","864","B",2004-11-14 13:30:00,1,40,429
"616","667","LB",2004-11-14 16:10:00,1,20,430
"618","667","LB",2004-11-15 16:00:00,1,20,432
"619","873","LB",2004-11-16 07:00:00,1,20,433
"620","46","B",2004-11-17 13:55:00,1,20,434
"621","84","B",2004-11-17 13:55:00,1,20,434
"622","477","B",2004-11-17 13:55:00,1,30,434
"623","586","B",2004-11-17 13:55:00,1,36,434
"629","166","B",2004-11-21 09:41:00,1,20,439
"630","170","B",2004-11-21 09:41:00,1,40,439
"631","18","B",2004-11-21 11:45:00,1,40,440
"632","84","B",2004-11-21 11:45:00,1,20,440
"633","149","B",2004-11-21 11:45:00,1,30,440
"634","477","B",2004-11-21 11:45:00,1,30,440
"637","335","B",2004-11-26 17:28:00,1,40,443
"647","479","LB",2004-12-18 12:14:00,1,30,453
"650","170","LB",2004-12-19 17:36:00,1,40,455
"651","422","LB",2004-12-26 09:52:00,1,40,456
"652","143","B",2004-12-28 15:57:00,1,30,457
"655","514","B",2004-12-30 12:43:00,1,20,460
"659","301","LB",2005-01-04 16:19:00,1,30,464
"662","170","LB",2005-01-07 12:33:00,1,40,467
"667","839","LB",2005-01-09 08:23:00,1,57,472
"668","73","B",2005-01-09 16:45:00,1,20,473
"671","170","B",2005-01-10 11:55:00,1,40,475
"672","216","B",2005-01-10 11:55:00,1,20,475
"673","263","B",2005-01-10 11:55:00,1,44,475
"674","685","B",2005-01-10 11:55:00,1,30,475
"675","768","B",2005-01-10 11:55:00,1,30,475
"676","84","B",2005-01-10 17:45:00,1,20,476
"677","755","B",2005-01-10 17:45:00,1,20,476
"678","918","B",2005-01-10 17:45:00,1,20,476
"680","170","B",2005-01-17 10:00:00,1,40,478
"681","263","B",2005-01-17 10:00:00,1,44,478
"682","459","B",2005-01-17 10:00:00,1,40,478
"683","876","B",2005-01-17 10:00:00,1,30,478
"684","878","B",2005-01-17 10:00:00,1,20,478
"688","453","LB",2005-01-19 11:00:00,1,20,482
"694","479","B",2005-01-22 06:52:00,1,30,485
"696","479","LB",2005-01-23 17:34:00,1,30,487
"697","73","B",2005-01-24 10:30:00,1,20,488
"698","371","B",2005-01-24 10:30:00,1,30,488
"702","400","LB",2005-01-25 16:20:00,1,30,492
"705","712","LB",2005-01-28 15:15:00,1,30,494
"706","490","B",2005-01-28 15:30:00,1,30,495
"708","17","LB",2005-01-30 08:42:00,1,20,497
"709","76","LB",2005-01-30 19:45:00,1,40,498
"710","507","LB",2005-02-01 10:14:00,1,20,499
"711","64","LB",2005-02-01 10:50:00,1,20,500
"714","76","LB",2005-02-02 08:46:00,1,40,503
"715","84","B",2005-02-02 10:42:00,1,20,504
"716","198","B",2005-02-02 10:42:00,1,30,504
"718","434","B",2005-02-07 12:01:00,1,20,506
"720","86","B",2005-02-11 10:30:00,1,20,508
"721","147","B",2005-02-11 10:30:00,1,30,508
"722","170","B",2005-02-11 10:30:00,1,40,508
"724","147","B",2005-02-18 09:23:00,1,30,510
"725","283","B",2005-02-18 09:23:00,1,56,510
"726","407","B",2005-02-18 09:23:00,1,30,510
"727","459","B",2005-02-18 09:23:00,1,40,510
"728","759","B",2005-02-18 09:23:00,1,30,510
"729","845","B",2005-02-18 09:23:00,1,30,510
"730","864","B",2005-02-18 09:23:00,1,40,510
"731","170","B",2005-02-18 10:55:00,1,40,511
"732","477","B",2005-02-18 10:55:00,1,30,511
"734","759","LB",2005-02-20 12:01:00,1,30,513
"737","507","LB",2005-02-21 10:14:00,1,20,516
"739","70","LB",2005-02-22 08:45:00,1,20,518
"741","170","LB",2005-02-22 10:55:00,1,40,520
"742","477","LB",2005-02-22 11:50:00,1,30,521
"744","453","B",2005-02-25 13:37:00,1,20,523
"745","802","B",2005-02-25 13:37:00,1,23,523
"749","643","LB",2005-03-03 07:35:00,1,20,527
"755","412","LB",2005-03-15 14:30:00,1,57,533
"756","147","B",2005-03-16 08:45:00,1,30,534
"757","170","B",2005-03-16 08:45:00,1,40,534
"758","630","LB",2005-03-16 10:25:00,1,30,535
"759","335","LB",2005-03-17 09:00:00,1,40,536
"760","335","LB",2005-03-17 16:42:00,1,40,537
"761","335","LB",2005-03-18 07:50:00,1,40,538
"762","335","LB",2005-03-19 06:30:00,1,40,539
"766","477","LB",2005-03-23 16:36:00,1,30,541
"770","375","B",2005-03-24 12:28:00,1,20,544
"771","363","B",2005-03-24 12:28:00,1,20,544
"772","477","LB",2005-03-24 15:58:00,1,30,545
"773","438","B",2005-03-25 09:15:00,1,30,546
"774","477","B",2005-03-25 09:15:00,1,30,546
"776","419","LB",2005-03-26 12:01:00,1,20,548
"777","140","LB",2005-03-26 16:00:00,1,20,549
"778","864","B",2005-03-26 17:00:00,1,40,550
"784","45","B",2005-04-02 12:20:00,1,20,556
"791","283","LB",2005-04-04 14:40:00,1,56,560
"794","354","LB",2005-04-09 12:00:00,1,30,563
"795","84","B",2005-04-09 12:20:00,1,20,564
"797","198","LB",2005-04-15 16:00:00,1,30,566
"809","406","LB",2005-04-17 12:00:00,1,40,568
"814","164","B",2005-04-23 14:59:00,1,30,572
"815","433","B",2005-04-23 14:59:00,1,30,572
"816","706","LB",2005-04-23 15:09:00,1,30,573
"818","659","B",2005-04-28 15:30:00,1,30,575
"823","84","LB",2005-05-02 14:25:00,1,20,580
"825","86","B",2005-05-02 15:19:00,1,20,582
"826","725","B",2005-05-02 15:19:00,1,20,582
"827","918","B",2005-05-02 15:19:00,1,20,582
"828","151","B",2005-05-05 10:50:00,1,30,583
"829","198","B",2005-05-05 10:50:00,1,30,583
"831","333","B",2005-05-06 07:10:00,1,30,585
"832","226","B",2005-05-06 07:10:00,1,20,585
"843","84","B",2005-05-09 15:30:00,1,20,592
"846","226","LB",2005-05-10 07:30:00,1,20,594
"847","333","LB",2005-05-10 07:30:00,1,30,594
"849","794","LB",2005-05-11 07:15:00,1,20,596
"851","82","B",2005-05-11 16:10:00,1,20,598
"852","871","LB",2005-05-11 16:20:00,1,20,599
"856","25","B",2005-05-14 10:00:00,1,30,603
"857","76","B",2005-05-14 10:00:00,1,40,603
"858","574","B",2005-05-14 10:00:00,1,30,603
"861","333","LB",2005-05-16 10:45:00,1,30,606
"865","67","B",2005-05-26 13:52:00,1,20,610
"866","333","B",2005-05-26 13:52:00,1,30,610
"869","263","B",2005-05-28 13:00:00,1,44,612
"871","285","B",2005-05-29 16:43:00,1,40,614
"872","796","B",2005-05-29 16:43:00,1,30,614
"873","84","B",2005-05-29 17:25:00,1,20,615
"874","47","B",2005-06-03 11:45:00,1,30,616
"875","170","B",2005-06-03 11:45:00,1,40,616
"877","444","LB",2005-06-08 11:00:00,1,40,618
"880","802","B",2005-06-09 15:10:00,1,23,620
"882","771","B",2005-06-12 09:33:00,1,30,622
"883","604","LB",2005-06-13 17:01:00,1,40,623
"884","91","B",2005-06-15 09:15:00,1,20,624
"885","349","B",2005-06-15 09:15:00,1,40,624
"886","647","B",2005-06-15 16:42:00,1,30,625
"887","719","B",2005-06-15 16:42:00,1,20,625
"888","170","B",2005-06-16 10:50:00,1,40,626
"889","543","B",2005-06-16 10:50:00,1,30,626
"890","772","LB",2005-06-18 07:01:00,1,40,627
"893","591","B",2005-06-19 15:05:00,1,20,630
"894","820","B",2005-06-20 16:00:00,1,32,631
"896","535","LB",2005-06-29 12:01:00,1,30,633
"897","453","LB",2005-07-01 12:01:00,1,20,634
"898","584","LB",2005-07-03 16:30:00,1,20,635
"899","170","B",2005-07-05 17:05:00,1,40,636
"900","543","B",2005-07-05 17:05:00,1,30,636
"905","787","LB",2005-07-06 14:45:00,1,33,638
"907","170","B",2005-07-13 13:25:00,1,40,640
"908","375","B",2005-07-13 13:25:00,1,20,640
"909","514","B",2005-07-13 13:25:00,1,20,640
"910","543","B",2005-07-13 13:25:00,1,30,640
"915","170","B",2005-07-25 10:34:00,1,40,645
"916","406","B",2005-07-25 10:34:00,1,40,645
"917","448","B",2005-07-25 10:34:00,1,30,645
"918","407","LB",2005-07-26 12:01:00,1,30,646
"919","170","B",2005-07-27 12:22:00,1,40,647
"920","283","B",2005-07-27 12:22:00,1,56,647
"921","406","B",2005-07-27 12:22:00,1,40,647
"922","448","B",2005-07-27 12:22:00,1,30,647
"923","543","B",2005-07-27 12:22:00,1,30,647
"924","860","LB",2005-07-27 13:30:00,1,30,648
"928","448","LB",2005-07-29 09:19:00,1,30,651
"929","170","B",2005-07-29 10:11:00,1,40,652
"930","181","B",2005-07-29 10:11:00,1,20,652
"931","283","B",2005-07-29 10:11:00,1,56,652
"934","769","LB",2005-07-29 17:45:00,1,20,655
"938","20","LB",2005-08-04 12:01:00,1,30,658
"940","647","LB",2005-08-06 13:02:00,1,30,660
"941","335","LB",2005-08-07 10:42:00,1,40,661
"942","170","B",2005-08-07 17:57:00,1,40,662
"943","157","LB",2005-08-08 09:01:00,1,45,663
"944","20","LB",2005-08-08 12:01:00,1,30,664
"945","20","LB",2005-08-08 12:01:00,1,30,665
"947","477","LB",2005-08-14 15:00:00,1,30,667
"950","543","B",2005-08-16 11:50:00,1,30,669
"952","409","B",2005-08-16 12:01:00,1,30,671
"953","170","LB",2005-08-16 13:15:00,1,40,672
"954","333","LB",2005-08-17 09:20:00,1,30,673
"955","76","B",2005-08-17 13:15:00,1,40,674
"957","276","LB",2005-08-20 08:10:00,1,40,676
"958","647","LB",2005-08-20 16:52:00,1,30,677
"962","335","B",2005-08-21 11:01:00,1,40,679
"963","871","B",2005-08-21 11:01:00,1,20,679
"964","878","B",2005-08-21 11:01:00,1,20,679
"965","911","B",2005-08-21 11:01:00,1,30,679
"968","170","B",2005-08-23 13:40:00,1,40,682
"969","543","B",2005-08-23 13:40:00,1,30,682
"970","333","LB",2005-08-24 14:45:00,1,30,683
"972","333","LB",2005-08-25 14:36:00,1,30,685
"973","335","B",2005-08-27 08:06:00,1,40,686
"977","91","B",2005-08-30 08:30:00,1,20,688
"978","586","B",2005-08-30 08:30:00,1,36,688
"979","646","B",2005-08-30 08:30:00,1,20,688
"981","170","B",2005-08-30 15:10:00,1,40,690
"982","448","B",2005-08-30 15:10:00,1,30,690
